timestamp,temp,humi,vib_x,vib_y,vib_z
11238924,27.78,37.57,-556,-968,16388
11239926,27.79,37.61,-528,-928,16436
11240927,27.8,37.57,-512,-852,16436
11241928,27.81,37.6,-516,-812,16540
11242930,27.78,37.41,-568,-928,16448
11243931,27.78,37.54,-572,-864,16496
11244933,27.79,37.51,-512,-892,16380
11245934,27.79,37.51,-528,-872,16476
11246936,27.79,37.5,-468,-920,16436
11247937,27.77,37.43,-536,-868,16464
11248938,27.79,37.56,-488,-948,16544
11249940,27.8,37.5,-488,-864,16516
11250941,27.79,37.47,-616,-872,16412
11252086,27.81,37.68,-552,-864,16448
11253087,27.81,37.71,-560,-880,16428
11254088,27.81,37.75,-588,-892,16420
11255090,27.82,37.79,-484,-892,16364
11256091,27.79,37.79,-572,-920,16420
11257093,27.8,37.79,-548,-916,16464
11258094,27.77,37.82,-504,-880,16568
11259095,27.78,37.83,-568,-884,16404
11260097,27.77,37.82,-460,-844,16404
11261098,27.77,37.81,-588,-924,16520
11262100,27.78,37.78,-524,-924,16604
11263101,27.79,37.73,-568,-928,16428
11264102,27.79,37.74,-580,-892,16428
11265104,27.76,37.71,-596,-884,16444
11266105,27.77,37.68,-500,-820,16388
11267106,27.77,37.73,-508,-872,16460
11268108,27.81,37.78,-552,-964,16428
11269109,27.8,37.72,-512,-876,16512
11270111,27.78,37.72,-552,-936,16452
11271112,27.78,37.81,-508,-916,16516
11272113,27.78,37.79,-552,-940,16468
11273115,27.79,37.73,-496,-880,16400
11274116,27.8,37.91,-548,-848,16464
11275118,27.78,37.95,-516,-868,16484
11276263,27.78,37.97,-528,-892,16388
11277265,27.77,37.94,-528,-932,16408
11278266,27.8,37.87,-540,-888,16380
11279268,27.78,37.82,-520,-908,16572
11280269,27.79,37.83,-520,-856,16504
11281271,27.78,37.84,-520,-884,16420
11282272,27.77,37.72,-580,-892,16408
11283274,27.78,37.8,-548,-952,16472
11284275,27.77,37.77,-596,-924,16484
11285277,27.78,37.71,-548,-900,16376
11286278,27.78,37.72,-548,-888,16432
11287280,27.76,37.58,-580,-840,16408
11288281,27.79,37.66,-512,-884,16432
11289283,27.78,37.58,-572,-924,16348
11290284,27.79,37.53,-508,-1004,16484
11291286,27.8,37.51,-540,-912,16492
11292287,27.78,37.61,-504,-864,16460
11293289,27.79,37.6,-516,-884,16488
11294291,27.78,37.58,-524,-932,16464
11295292,27.76,37.46,-516,-892,16448
11296294,27.79,37.51,-508,-932,16484
11297295,27.79,37.37,-540,-976,16472
11298297,27.79,37.47,-480,-964,16480
11299442,27.8,37.49,-488,-900,16508
11300443,27.77,37.42,-556,-884,16364
11301445,27.77,37.39,-492,-884,16408
11302446,27.77,37.33,-496,-908,16504
11303448,27.79,37.34,-564,-984,16468
11304449,27.79,37.27,-460,-856,16500
11305451,27.78,37.41,-536,-928,16464
11306452,27.78,37.38,-528,-952,16484
11307454,27.77,37.34,-456,-908,16528
11308455,27.78,37.23,-468,-888,16524
11309457,27.79,37.35,-548,-892,16476
11310459,27.78,37.24,-560,-848,16628
11311460,27.79,37.19,-580,-924,16516
11312461,27.8,37.34,-520,-904,16524
11313463,27.77,37.38,-504,-916,16440
11314464,27.79,37.32,-532,-928,16400
11315465,27.75,37.32,-504,-880,16424
11316610,27.76,37.29,-520,-912,16436
11317611,27.79,37.37,-520,-912,16560
11318612,27.78,37.36,-488,-888,16508
11319614,27.77,37.41,-496,-908,16544
11320615,27.75,37.34,-536,-932,16524
11321617,27.77,37.36,-536,-856,16380
11322618,27.73,37.27,-552,-912,16356
11323620,27.76,37.25,-536,-932,16464
11324621,27.76,37.42,-536,-872,16500
11325623,27.77,37.4,-564,-968,16344
11326624,27.75,37.43,-516,-900,16504
11327625,27.75,37.35,-552,-868,16496
11328627,27.73,37.4,-468,-948,16420
11329628,27.75,37.43,-524,-892,16392
11330629,27.75,37.47,-520,-956,16404
11331631,27.75,37.47,-524,-952,16412
11332632,27.75,37.44,-580,-908,16396
11333777,27.74,37.52,-532,-896,16488
11334778,27.73,37.44,-556,-924,16548
11335779,27.73,37.53,-360,-784,16380
11336781,27.73,37.52,-532,-900,16552
11337782,27.73,37.53,-492,-936,16472
11338784,27.74,37.51,-524,-916,16504
11339785,27.74,37.53,-548,-892,16564
11340787,27.73,37.55,-548,-900,16496
